id,state,time,score,status
115002,GA,0,0.0860215,0
115002,GA,1,0.043956,0
115002,GA,2,0.0315789,0
115002,GA,3,0.011236,0
115002,GA,4,0.045454499999999995,0
115002,GA,5,0.0,0
115002,GA,6,0.0,0
115002,GA,7,0.04301080000000001,0
115004,GA,0,0.1238938,0
115004,GA,1,0.0666667,0
115004,GA,2,0.0550459,0
115004,GA,3,0.036363599999999996,0
115004,GA,4,0.061946900000000006,0
115004,GA,5,0.1081081,0
115004,GA,6,0.0891089,0
115004,GA,7,0.1188119,0
115005,GA,0,0.06849319999999999,0
115005,GA,1,0.051948100000000004,0
115005,GA,2,0.0487805,0
115005,GA,3,0.0789474,0
115005,GA,4,0.0752688,0
115005,GA,5,0.0588235,0
115005,GA,6,0.0566038,0
115005,GA,7,0.0480769,0
115012,GA,0,0.05,0
115012,GA,1,0.075,0
115012,GA,2,0.11904759999999999,0
115012,GA,3,0.1351351,0
115012,GA,4,0.15789470000000003,0
115012,GA,5,0.0909091,0
115012,GA,6,0.1428571,0
115012,GA,7,0.0697674,0
115020,GA,0,0.15942030000000001,0
115020,GA,1,0.1111111,0
115020,GA,2,0.1232877,0
115020,GA,3,0.0555556,0
115020,GA,4,0.014705900000000001,0
115020,GA,5,0.047618999999999995,0
115020,GA,6,0.045454499999999995,0
115020,GA,7,0.015872999999999998,0
115022,GA,0,0.0677966,0
115022,GA,1,0.1428571,0
115022,GA,2,0.0847458,0
115022,GA,3,0.019607799999999998,0
115022,GA,4,0.0192308,0
115022,GA,5,0.0566038,0
115022,GA,6,0.037037,0
115022,GA,7,0.053571400000000005,0
115025,GA,0,0.037037,0
115025,GA,1,0.0633803,0
115025,GA,2,0.1071429,0
115025,GA,3,0.1259259,0
115025,GA,4,0.11940300000000001,0
115025,GA,5,0.1029412,0
115025,GA,6,0.11851850000000001,0
115025,GA,7,0.0916031,0
115039,GA,0,0.375,0
115039,GA,1,0.3932584,0
115039,GA,2,0.4390244,0
115039,GA,3,0.4146341,0
115039,GA,4,0.47058820000000007,0
115039,GA,5,0.41111109999999995,0
115039,GA,6,0.44230769999999997,0
115039,GA,7,0.38679250000000004,0
115040,GA,0,0.09433960000000001,0
115040,GA,1,0.0566038,0
115040,GA,2,0.0357143,0
115040,GA,3,0.0517241,0
115040,GA,4,0.036363599999999996,0
115040,GA,5,0.03921569999999999,0
115040,GA,6,0.04,0
115040,GA,7,0.0384615,0
115044,GA,0,0.122807,0
115044,GA,1,0.09433960000000001,0
115044,GA,2,0.1296296,0
115044,GA,3,0.1607143,0
115044,GA,4,0.1698113,0
115044,GA,5,0.2222222,0
115044,GA,6,0.20370370000000002,0
115044,GA,7,0.18518520000000002,0
115045,GA,0,0.1139241,1
115045,GA,1,0.1265823,1
115045,GA,2,0.08536590000000001,1
115045,GA,3,0.097561,1
115045,GA,4,0.0410959,1
115045,GA,5,0.1388889,1
115045,GA,6,0.08,1
115045,GA,7,0.09333330000000001,1
115090,GA,0,0.014285699999999998,0
115090,GA,1,0.029850699999999997,0
115090,GA,2,0.0689655,0
115090,GA,3,0.016129,0
115090,GA,4,0.047618999999999995,0
115090,GA,5,0.0833333,0
115090,GA,6,0.05,0
115090,GA,7,0.0350877,0
115099,GA,0,0.0625,0
115099,GA,1,0.059701500000000005,0
115099,GA,2,0.0757576,0
115099,GA,3,0.05,0
115099,GA,4,0.09677419999999999,0
115099,GA,5,0.060606099999999996,0
115099,GA,6,0.07692310000000001,0
115099,GA,7,0.046875,0
115104,GA,0,0.0,0
115104,GA,1,0.0172414,0
115104,GA,2,0.047618999999999995,0
115104,GA,3,0.030303,0
115104,GA,4,0.0,0
115104,GA,5,0.0169492,0
115104,GA,6,0.021276599999999996,0
115104,GA,7,0.061224499999999994,0
115106,GA,0,0.031745999999999996,1
115106,GA,1,0.0847458,1
115106,GA,2,0.1147541,1
115106,GA,3,0.0925926,1
115106,GA,4,0.049180299999999996,1
115106,GA,5,0.048387099999999995,1
115106,GA,6,0.03448280000000001,1
115106,GA,7,0.033898300000000006,1
115110,GA,0,0.08791209999999999,0
115110,GA,1,0.1052632,0
115110,GA,2,0.0243902,0
115110,GA,3,0.0235294,0
115110,GA,4,0.06593410000000001,0
115110,GA,5,0.0963855,0
115110,GA,6,0.14117649999999998,0
115110,GA,7,0.15151520000000002,0
115115,GA,0,0.053571400000000005,0
115115,GA,1,0.0576923,0
115115,GA,2,0.0185185,0
115115,GA,3,0.0925926,0
115115,GA,4,0.1111111,0
115115,GA,5,0.12244899999999999,0
115115,GA,6,0.15094339999999998,0
115115,GA,7,0.2916667,0
115120,GA,0,0.0833333,0
115120,GA,1,0.04,0
115120,GA,2,0.0384615,0
115120,GA,3,0.0365854,0
115120,GA,4,0.0705882,0
115120,GA,5,0.1111111,0
115120,GA,6,0.203125,0
115120,GA,7,0.1363636,0
115124,GA,0,0.0752688,0
115124,GA,1,0.12371130000000001,0
115124,GA,2,0.09,0
115124,GA,3,0.0549451,0
115124,GA,4,0.125,0
115124,GA,5,0.1162791,0
115124,GA,6,0.0833333,0
115124,GA,7,0.097561,0
115129,GA,0,0.0869565,0
115129,GA,1,0.08196719999999999,0
115129,GA,2,0.09375,0
115129,GA,3,0.1029412,0
115129,GA,4,0.0944882,0
115129,GA,5,0.13559320000000002,0
115129,GA,6,0.152,0
115129,GA,7,0.12820510000000002,0
115132,GA,0,0.10638299999999999,0
115132,GA,1,0.1111111,0
115132,GA,2,0.2857143,0
115132,GA,3,0.2439024,0
115132,GA,4,0.2325581,0
115132,GA,5,0.2222222,0
115132,GA,6,0.1621622,0
115132,GA,7,0.1351351,0
115138,GA,0,0.09677419999999999,0
115138,GA,1,0.1355932,0
115138,GA,2,0.09090909999999999,0
115138,GA,3,0.1525424,0
